transaction_type,account_id,amount,asset_id,asset_name,asset_symbol,asset_decimals,timestamp,hash
withdraw,0xaeeb3898ede6a6e86864688383e211132baa1af3,0.006001005727524967,0x4200000000000000000000000000000000000006,Wrapped Ether,WETH,18,2024-05-25 15:44:21,0x002155320f16286590e280ebbb06632e2ef4d9f17c84eb50e4129af2741b0b35
deposit,0x4de159835e0b6c261599b6a3defc35159168f352,0.085,0x4200000000000000000000000000000000000006,Wrapped Ether,WETH,18,2024-05-24 06:56:37,0x00145181db84e62441cc5a0543a63d4edfa09dfb8338d548e29e08b074163326
deposit,0x6959938d66b8750f0093f6094afd675041a57d05,0.9,0x4200000000000000000000000000000000000006,Wrapped Ether,WETH,18,2024-05-23 05:40:55,0x0009fc8f0d73f4a22753086ae3aee19d74da662fce09408740c5b395a7368f6d
withdraw,0xaeeb3898ede6a6e86864688383e211132baa1af3,0.003886582721316335,0x4200000000000000000000000000000000000006,Wrapped Ether,WETH,18,2024-05-22 20:54:53,0x001d58c757a2f7d0a3e0f2942c68679f181b29c2131302af80b06cc2451d93c2
withdraw,0xaeeb3898ede6a6e86864688383e211132baa1af3,0.025156001090973826,0x4200000000000000000000000000000000000006,Wrapped Ether,WETH,18,2024-05-22 10:19:53,0x001f43233bafd92e09f45999214e30d93263c7b29ba5f07b14255a427242a1d5
withdraw,0xaeeb3898ede6a6e86864688383e211132baa1af3,0.004999732478021256,0x4200000000000000000000000000000000000006,Wrapped Ether,WETH,18,2024-05-22 04:44:03,0x00284f2daad8ce884cce714a6f7f91c3053d10c5cf3e7146cd0fab257deb4a42
withdraw,0xaeeb3898ede6a6e86864688383e211132baa1af3,0.9800266992682852,0x4200000000000000000000000000000000000006,Wrapped Ether,WETH,18,2024-05-21 00:19:07,0x00193b6d861db5d0d9b9c1362758e330bcc30bb2b0d4659b90b2f309496a7fe1
deposit,0x1f17d9ce224ec4af22d57c4f17a82ed7bae74bfa,0.08912566901123148,0x4200000000000000000000000000000000000006,Wrapped Ether,WETH,18,2024-05-20 13:19:05,0x00157cb4b6109fdb77b8cb55498d33f82b4b94a59698522075dc2347302711ae
withdraw,0xaeeb3898ede6a6e86864688383e211132baa1af3,0.002861160622842165,0x4200000000000000000000000000000000000006,Wrapped Ether,WETH,18,2024-05-18 03:11:11,0x00144b5101b013b44afbd9d0ada411cbccf229e2fc0420f4a64cdc4ff1975906
deposit,0xfe9df73c9c801653b581bff0abedcbb63fda2612,0.007001,0x4200000000000000000000000000000000000006,Wrapped Ether,WETH,18,2024-05-17 20:18:21,0x0005f105c9f41a3928a9ca158daa248ee08e92a2c5e4e46ef8549bea40a2bffd
withdraw,0xaeeb3898ede6a6e86864688383e211132baa1af3,1.1000109615134772,0x4200000000000000000000000000000000000006,Wrapped Ether,WETH,18,2024-05-16 10:52:47,0x0016ffb5b56e8e09b9929019e573863d14ebb1539f27c4ba9d35e07b32644934
deposit,0xea749b29adbebcdeffe1a3575d6ebcdb06da4857,0.32620504,0x4200000000000000000000000000000000000006,Wrapped Ether,WETH,18,2024-05-16 01:57:07,0x00191be0106d973f01d046c1c43c7027a14aae23b8f0857280fe196a1947d99c
deposit,0x3a7ded407df2cce0c88d578de1f229e38c8471db,0.02,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,USD Coin,USDC,6,2024-05-14 16:02:33,0x001c4cc055e23d4b5953f07c9432e364650e58469a689899a2eb609f151a32a8
deposit,0xadc2bce28360112066895743d9808be6a19f5761,0.002796462127300851,0x4200000000000000000000000000000000000006,Wrapped Ether,WETH,18,2024-05-14 09:13:15,0x000a6f95c7ac8fdce72e887b2f93a5e330f1782b18a3dc8da76a075f26c8f409
withdraw,0xaeeb3898ede6a6e86864688383e211132baa1af3,0.006171873391213091,0x4200000000000000000000000000000000000006,Wrapped Ether,WETH,18,2024-05-13 09:59:47,0x0002545ad8af1a60e3897f7006b53dc09f15c79af06c0bcffdb8f305903c3a0e
withdraw,0x983601f85a8f842b549110d4349a5fc3fdef4360,1.002381054329469,0x1c7a460413dd4e964f96d8dfc56e7223ce88cd85,Seamless,SEAM,18,2024-05-12 08:46:29,0x00056b62b57f1f008b55bfb97538d84da890ff2ca09e3bc1b41f297b424a37e0
withdraw,0xaeeb3898ede6a6e86864688383e211132baa1af3,0.08533278394932169,0x4200000000000000000000000000000000000006,Wrapped Ether,WETH,18,2024-05-12 07:14:21,0x0024b96aa297750d781c6e353cd1b318befc026d2a00a84fe8733aa1a64917bd
withdraw,0xaeeb3898ede6a6e86864688383e211132baa1af3,0.40122275468654145,0x4200000000000000000000000000000000000006,Wrapped Ether,WETH,18,2024-05-11 12:03:09,0x00111701b43b46656d8e53d44640be34d62a8317b769ac99d99e75fbb0eeef39
withdraw,0xaeeb3898ede6a6e86864688383e211132baa1af3,0.4522893443092365,0x4200000000000000000000000000000000000006,Wrapped Ether,WETH,18,2024-05-11 00:00:05,0x001ee36a899f54f39a0bca427b1f39ea6e62951256615a8850c8deb4512a3253
withdraw,0xaeeb3898ede6a6e86864688383e211132baa1af3,0.4341140117325184,0x4200000000000000000000000000000000000006,Wrapped Ether,WETH,18,2024-05-10 23:56:11,0x000f18fe38658e1ff589f651b65cb57ab58c1f9f7a15ea2362283c82d1686d0c
withdraw,0xaeeb3898ede6a6e86864688383e211132baa1af3,0.38984320200700795,0x4200000000000000000000000000000000000006,Wrapped Ether,WETH,18,2024-05-10 22:13:33,0x0021fffc48e0da9d278ae5ba231ac9fb59507a33c13a985aae8020d8cf9c59f1
withdraw,0x911679a2f25705b8fa3e231630dd4c1b44559dc3,1.494299,0xd9aaec86b65d86f6a7b5b1b0c42ffa531710b6ca,USD Base Coin,USDbC,6,2024-05-10 07:20:09,0x001ec9dcc24ca2c755e44f8455b8077c23df5c82e16f560d21b55d424aaf18f4
withdraw,0xaeeb3898ede6a6e86864688383e211132baa1af3,0.005455558023002395,0x4200000000000000000000000000000000000006,Wrapped Ether,WETH,18,2024-05-10 01:27:23,0x0029bbc7ea22e88e9b86f669b65240746dbcda76e82280a2fae877853fc9656e
withdraw,0xaeeb3898ede6a6e86864688383e211132baa1af3,0.2776689069435222,0x4200000000000000000000000000000000000006,Wrapped Ether,WETH,18,2024-05-09 16:14:03,0x002226d2199ce22c48e91507bea9c19ed75a13a9cc037cb292eb2ee03e2b533e
